date,status,fulfilment,sales_channel,ship_service_level,style,sku,category,size,qty,amount,ship_state,b2b,fulfilled_by
2022-05-01,shipped,amazon,amazon.in,expedited,men5009,men5009_kr_l,kurta,l,1,499.0,delhi,False,
2022-05-01,shipped,amazon,amazon.in,expedited,set268,set268_kr_np_m,set,m,1,788.0,delhi,False,
2022-05-01,shipped,amazon,amazon.in,expedited,set264,set264_kr_np_m,set,m,1,824.0,delhi,False,
2022-05-01,shipped_delivered_to_buyer,merchant,amazon.in,standard,set265,set265_kr_np_m,set,m,1,888.0,delhi,False,easy_ship
2022-05-01,shipped_delivered_to_buyer,merchant,amazon.in,standard,men5002,men5002_kr_l,kurta,l,1,499.0,delhi,False,easy_ship
2022-05-01,shipped_delivered_to_buyer,merchant,amazon.in,standard,jne3440,jne3440_kr_n_l,kurta,l,1,399.0,tamil_nadu,False,easy_ship
2022-05-01,shipped,amazon,amazon.in,expedited,set110,set110_kr_pp_l,set,l,1,788.0,maharashtra,False,
2022-05-01,shipped,amazon,amazon.in,expedited,jne3440,jne3440_kr_n_m,kurta,m,1,399.0,andhra_pradesh,False,
2022-05-01,shipped,amazon,amazon.in,expedited,jne3405,jne3405_kr_xxl,kurta,xxl,1,399.0,haryana,False,
2022-05-01,shipped_delivered_to_buyer,merchant,amazon.in,standard,jne3030,jne3030_kr_xxxl,kurta,3xl,1,736.0,andhra_pradesh,False,easy_ship
2022-05-01,shipped_delivered_to_buyer,merchant,amazon.in,standard,jne3405,jne3405_kr_s,kurta,s,1,399.0,delhi,False,easy_ship
2022-05-01,shipped,amazon,amazon.in,expedited,jne3568,jne3568_kr_xl,kurta,xl,1,399.0,telangana,False,
2022-05-01,shipped_delivered_to_buyer,merchant,amazon.in,standard,set363,set363_kr_np_xxl,set,xxl,1,0.0,uttar_pradesh,False,easy_ship
2022-05-01,cancelled,merchant,amazon.in,standard,an208,an208_mustard_xxl,bottom,xxl,0,218.1,karnataka,False,easy_ship
2022-05-01,shipped,amazon,amazon.in,expedited,set264,set264_kr_np_m,set,m,1,824.0,andhra_pradesh,False,
2022-05-01,cancelled,amazon,amazon.in,expedited,set397,set397_kr_np___m,set,m,1,1186.0,odisha,False,
2022-05-01,shipped,amazon,amazon.in,expedited,jne2014,jne2014_kr_178_xxxl,kurta,3xl,1,353.0,karnataka,False,
2022-05-01,shipped,amazon,amazon.in,expedited,j0301,j0301_tp_l,top,l,1,493.0,delhi,False,
2022-05-01,shipped,amazon,amazon.in,expedited,jne3691,jne3691_tu_s,top,s,1,0.0,maharashtra,False,
2022-05-01,shipped_delivered_to_buyer,merchant,amazon.in,standard,jne3633,jne3633_kr_s,kurta,s,1,459.0,telangana,False,easy_ship
2022-05-01,shipped,amazon,amazon.in,expedited,j0012,j0012_skd_l,set,l,1,1213.0,maharashtra,False,
2022-05-01,shipped,amazon,amazon.in,expedited,j0334,j0334_tp_m,top,m,1,0.0,maharashtra,False,
2022-05-01,cancelled,merchant,amazon.in,standard,j0096,j0096_kr_m,kurta,m,0,540.95,haryana,False,easy_ship
2022-05-01,shipped,amazon,amazon.in,expedited,set331,set331_kr_np_m,set,m,1,635.0,telangana,False,
2022-05-01,shipped,amazon,amazon.in,expedited,set269,set269_kr_np_m,set,m,1,824.0,telangana,False,
2022-05-01,shipped,amazon,amazon.in,expedited,j0003,j0003_set_m,set,m,1,696.0,telangana,False,
2022-05-01,shipped,amazon,amazon.in,expedited,men5019,men5019_kr_xxl,kurta,xxl,1,476.0,gujarat,False,
2022-05-01,shipped,amazon,amazon.in,expedited,men5006,men5006_kr_xl,kurta,xl,1,475.0,karnataka,False,
2022-05-01,shipped,amazon,amazon.in,expedited,men5008,men5008_kr_xl,kurta,xl,1,499.0,karnataka,False,
2022-05-01,shipped_delivered_to_buyer,merchant,amazon.in,standard,j0096,j0096_kr_xxl,kurta,xxl,1,568.0,karnataka,False,easy_ship
2022-05-01,shipped,amazon,amazon.in,expedited,jne3030,jne3030_kr_xxxl,kurta,3xl,1,736.0,andhra_pradesh,False,
